order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale
28,1/6/2023,Cold coffee,Beverages,40,10,400,Online,Mrs.,Afternoon
29,2/10/2023,Sugarcane juice,Beverages,25,9,225,Online,Mr.,Afternoon
30,1/28/2023,Frankie,Fastfood,50,2,100,Cash,Mrs.,Night
31,9/14/2022,Cold coffee,Beverages,40,13,520,Online,Mrs.,Evening
32,5/6/2022,Aalopuri,Fastfood,20,4,80,,Mr.,Morning
33,2/5/2023,Aalopuri,Fastfood,20,13,260,Online,Mr.,Night
34,2/4/2023,Frankie,Fastfood,50,12,600,Online,Mrs.,Evening
35,5/22/2022,Vadapav,Fastfood,20,8,160,Cash,Mr.,Morning
36,7/2/2022,Cold coffee,Beverages,40,10,400,Online,Mr.,Afternoon
37,1/5/2023,Frankie,Fastfood,50,10,500,Cash,Mr.,Night
38,3/8/2023,Panipuri,Fastfood,20,12,240,Online,Mrs.,Night
39,5/14/2022,Vadapav,Fastfood,20,2,40,Online,Mr.,Evening
40,2/5/2023,Sandwich,Fastfood,60,5,300,Online,Mrs.,Night
41,11/13/2022,Cold coffee,Beverages,40,11,440,,Mr.,Afternoon
42,5/9/2022,Aalopuri,Fastfood,20,8,160,Online,Mrs.,Night
43,5/26/2022,Vadapav,Fastfood,20,1,20,Cash,Mr.,Night
44,8/28/2022,Cold coffee,Beverages,40,12,480,Cash,Mr.,Evening
45,8/15/2022,Sugarcane juice,Beverages,25,6,150,Cash,Mrs.,Afternoon
46,5/7/2022,Vadapav,Fastfood,20,7,140,Cash,Mr.,Evening
47,7/10/2022,Sandwich,Fastfood,60,7,420,,Mr.,Morning
48,2/23/2023,Sandwich,Fastfood,60,14,840,Online,Mr.,Afternoon
49,11/6/2022,Frankie,Fastfood,50,4,200,Online,Mrs.,Morning
50,11/2/2022,Vadapav,Fastfood,20,8,160,Cash,Mrs.,Midnight
51,5/16/2022,Frankie,Fastfood,50,15,750,Online,Mrs.,Morning
52,3/16/2023,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Midnight
53,7/26/2022,Aalopuri,Fastfood,20,13,260,Cash,Mr.,Afternoon
54,12/28/2022,Panipuri,Fastfood,20,14,280,Online,Mrs.,Morning
55,5/7/2022,Sandwich,Fastfood,60,10,600,Cash,Mr.,Night
56,11/23/2022,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Midnight
57,8/4/2022,Panipuri,Fastfood,20,14,280,Online,Mrs.,Morning
58,2/3/2023,Vadapav,Fastfood,20,6,120,Online,Mrs.,Morning
59,7/1/2022,Vadapav,Fastfood,20,5,100,Cash,Mr.,Morning
60,6/11/2022,Cold coffee,Beverages,40,2,80,Online,Mr.,Night
61,12/25/2022,Vadapav,Fastfood,20,14,280,Cash,Mrs.,Afternoon
62,10/17/2022,Sugarcane juice,Beverages,25,3,75,Cash,Mr.,Afternoon
63,12/1/2022,Sandwich,Fastfood,60,7,420,Online,Mrs.,Morning
64,12/9/2022,Cold coffee,Beverages,40,1,40,Cash,Mr.,Morning
65,7/25/2022,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Morning
66,4/5/2022,Frankie,Fastfood,50,2,100,Cash,Mrs.,Morning
67,5/15/2022,Aalopuri,Fastfood,20,9,180,Cash,Mr.,Midnight
68,12/17/2022,Cold coffee,Beverages,40,2,80,,Mr.,Night
69,1/10/2023,Vadapav,Fastfood,20,7,140,Cash,Mr.,Midnight
70,5/9/2022,Cold coffee,Beverages,40,14,560,,Mrs.,Morning
71,12/5/2022,Cold coffee,Beverages,40,6,240,Online,Mr.,Night
72,3/9/2023,Frankie,Fastfood,50,13,650,Online,Mr.,Afternoon
73,7/29/2022,Panipuri,Fastfood,20,5,100,Cash,Mr.,Midnight
74,8/15/2022,Cold coffee,Beverages,40,10,400,Online,Mrs.,Evening
75,2/2/2023,Cold coffee,Beverages,40,6,240,Online,Mrs.,Afternoon
76,8/17/2022,Vadapav,Fastfood,20,9,180,Online,Mr.,Morning
77,2/4/2023,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Midnight
78,10/1/2022,Vadapav,Fastfood,20,4,80,Cash,Mrs.,Evening
79,11/5/2022,Panipuri,Fastfood,20,6,120,Online,Mr.,Night
80,5/24/2022,Frankie,Fastfood,50,13,650,Cash,Mr.,Evening
81,11/19/2022,Frankie,Fastfood,50,12,600,Online,Mrs.,Night
82,7/17/2022,Frankie,Fastfood,50,3,150,Online,Mrs.,Evening
83,11/13/2022,Frankie,Fastfood,50,11,550,,Mr.,Evening
84,3/3/2023,Panipuri,Fastfood,20,13,260,Cash,Mr.,Midnight
85,8/19/2022,Aalopuri,Fastfood,20,3,60,Online,Mrs.,Night
86,3/9/2023,Aalopuri,Fastfood,20,15,300,Cash,Mr.,Morning
87,5/29/2022,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Night
88,7/7/2022,Cold coffee,Beverages,40,10,400,Cash,Mr.,Evening
89,12/23/2022,Aalopuri,Fastfood,20,14,280,Cash,Mr.,Evening
90,10/29/2022,Vadapav,Fastfood,20,15,300,Online,Mr.,Night
91,3/22/2023,Cold coffee,Beverages,40,6,240,,Mrs.,Evening
92,5/13/2022,Aalopuri,Fastfood,20,15,300,Cash,Mr.,Afternoon
93,7/3/2022,Cold coffee,Beverages,40,2,80,Online,Mrs.,Midnight
94,9/14/2022,Aalopuri,Fastfood,20,15,300,,Mrs.,Night
95,5/12/2022,Sugarcane juice,Beverages,25,8,200,Online,Mr.,Night
96,8/22/2022,Sandwich,Fastfood,60,15,900,,Mr.,Morning
97,3/29/2023,Cold coffee,Beverages,40,13,520,Online,Mr.,Evening
98,12/24/2022,Vadapav,Fastfood,20,1,20,Online,Mr.,Morning
99,9/11/2022,Sugarcane juice,Beverages,25,3,75,Cash,Mr.,Evening
100,5/8/2022,Panipuri,Fastfood,20,11,220,,Mr.,Morning
101,3/26/2023,Vadapav,Fastfood,20,3,60,Online,Mrs.,Morning
102,3/13/2023,Cold coffee,Beverages,40,14,560,Cash,Mr.,Morning
103,3/14/2023,Cold coffee,Beverages,40,8,320,Online,Mrs.,Midnight
104,10/27/2022,Cold coffee,Beverages,40,13,520,Online,Mr.,Morning
105,1/25/2023,Panipuri,Fastfood,20,8,160,Cash,Mrs.,Evening
106,2/25/2023,Frankie,Fastfood,50,9,450,Cash,Mrs.,Evening
107,2/7/2023,Sandwich,Fastfood,60,4,240,Online,Mr.,Afternoon
108,8/6/2022,Panipuri,Fastfood,20,5,100,Online,Mr.,Afternoon
109,8/8/2022,Cold coffee,Beverages,40,12,480,,Mr.,Afternoon
110,11/16/2022,Panipuri,Fastfood,20,2,40,Online,Mrs.,Morning
111,9/4/2022,Sandwich,Fastfood,60,8,480,Cash,Mrs.,Midnight
112,2/24/2023,Sandwich,Fastfood,60,7,420,Cash,Mr.,Morning
113,12/12/2022,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Afternoon
114,8/14/2022,Aalopuri,Fastfood,20,10,200,Online,Mr.,Afternoon
115,1/12/2023,Aalopuri,Fastfood,20,13,260,,Mr.,Evening
116,8/26/2022,Sugarcane juice,Beverages,25,13,325,Cash,Mr.,Evening
117,3/9/2023,Frankie,Fastfood,50,7,350,Online,Mrs.,Evening
118,7/6/2022,Sandwich,Fastfood,60,1,60,Online,Mr.,Midnight
119,5/12/2022,Panipuri,Fastfood,20,10,200,Cash,Mr.,Evening
120,7/10/2022,Frankie,Fastfood,50,2,100,Cash,Mrs.,Evening
121,8/26/2022,Cold coffee,Beverages,40,8,320,Cash,Mr.,Afternoon
122,4/24/2022,Panipuri,Fastfood,20,3,60,,Mrs.,Night
123,6/9/2022,Cold coffee,Beverages,40,6,240,Online,Mr.,Evening
124,10/14/2022,Sugarcane juice,Beverages,25,13,325,,Mrs.,Evening
125,4/10/2022,Vadapav,Fastfood,20,7,140,Cash,Mrs.,Midnight
126,4/8/2022,Panipuri,Fastfood,20,11,220,Online,Mrs.,Night
127,12/3/2022,Aalopuri,Fastfood,20,1,20,,Mrs.,Morning
128,8/7/2022,Vadapav,Fastfood,20,11,220,Online,Mr.,Midnight
129,10/19/2022,Panipuri,Fastfood,20,13,260,Cash,Mrs.,Morning
130,12/28/2022,Sugarcane juice,Beverages,25,7,175,Cash,Mr.,Night
131,1/19/2023,Sandwich,Fastfood,60,8,480,Cash,Mr.,Night
132,12/5/2022,Vadapav,Fastfood,20,4,80,Online,Mrs.,Night
133,12/20/2022,Aalopuri,Fastfood,20,5,100,Online,Mr.,Midnight
134,7/17/2022,Aalopuri,Fastfood,20,12,240,Online,Mrs.,Night
135,1/14/2023,Aalopuri,Fastfood,20,8,160,Online,Mr.,Midnight
136,8/24/2022,Aalopuri,Fastfood,20,15,300,Online,Mr.,Morning
137,3/19/2023,Sugarcane juice,Beverages,25,6,150,,Mr.,Afternoon
138,9/1/2022,Sandwich,Fastfood,60,15,900,Online,Mr.,Night
139,2/26/2023,Frankie,Fastfood,50,11,550,Online,Mrs.,Night
140,6/12/2022,Frankie,Fastfood,50,13,650,Cash,Mr.,Night
141,6/15/2022,Aalopuri,Fastfood,20,4,80,,Mr.,Evening
142,12/30/2022,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Morning
143,9/18/2022,Frankie,Fastfood,50,8,400,,Mrs.,Afternoon
144,11/17/2022,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Evening
145,10/9/2022,Sandwich,Fastfood,60,14,840,Online,Mr.,Morning
146,10/28/2022,Frankie,Fastfood,50,4,200,,Mrs.,Afternoon
147,5/17/2022,Panipuri,Fastfood,20,7,140,Online,Mr.,Evening
148,3/19/2023,Sandwich,Fastfood,60,13,780,Online,Mr.,Evening
149,8/9/2022,Sandwich,Fastfood,60,7,420,Online,Mr.,Morning
150,1/30/2023,Cold coffee,Beverages,40,14,560,Cash,Mr.,Afternoon
151,7/10/2022,Frankie,Fastfood,50,13,650,Online,Mrs.,Morning
152,10/24/2022,Cold coffee,Beverages,40,9,360,Online,Mr.,Afternoon
153,7/21/2022,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Evening
154,12/13/2022,Vadapav,Fastfood,20,3,60,Cash,Mr.,Night
155,2/7/2023,Sugarcane juice,Beverages,25,10,250,Cash,Mrs.,Evening
156,3/25/2023,Panipuri,Fastfood,20,14,280,Cash,Mr.,Midnight
157,2/24/2023,Frankie,Fastfood,50,7,350,Online,Mrs.,Midnight
158,5/16/2022,Aalopuri,Fastfood,20,2,40,,Mr.,Midnight
159,10/3/2022,Sugarcane juice,Beverages,25,1,25,Online,Mrs.,Afternoon
160,7/23/2022,Vadapav,Fastfood,20,10,200,Online,Mr.,Night
161,1/19/2023,Sugarcane juice,Beverages,25,12,300,Cash,Mr.,Evening
162,5/7/2022,Aalopuri,Fastfood,20,11,220,Cash,Mr.,Midnight
163,1/6/2023,Frankie,Fastfood,50,6,300,Online,Mrs.,Midnight
164,8/10/2022,Sugarcane juice,Beverages,25,7,175,Online,Mr.,Afternoon
165,1/5/2023,Sandwich,Fastfood,60,11,660,Cash,Mr.,Midnight
166,6/1/2022,Panipuri,Fastfood,20,6,120,Cash,Mrs.,Evening
167,2/23/2023,Cold coffee,Beverages,40,6,240,Cash,Mrs.,Morning
168,4/19/2022,Sandwich,Fastfood,60,4,240,Cash,Mrs.,Midnight
169,6/20/2022,Vadapav,Fastfood,20,6,120,Cash,Mr.,Morning
170,2/13/2023,Aalopuri,Fastfood,20,6,120,,Mrs.,Afternoon
171,3/2/2023,Vadapav,Fastfood,20,11,220,Cash,Mrs.,Midnight
172,8/27/2022,Sugarcane juice,Beverages,25,6,150,Online,Mrs.,Night
173,1/20/2023,Cold coffee,Beverages,40,2,80,Online,Mr.,Night
174,9/3/2022,Aalopuri,Fastfood,20,2,40,Online,Mr.,Evening
175,10/17/2022,Frankie,Fastfood,50,12,600,Cash,Mrs.,Afternoon
176,8/4/2022,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Midnight
177,7/21/2022,Panipuri,Fastfood,20,11,220,Online,Mrs.,Morning
178,12/9/2022,Aalopuri,Fastfood,20,2,40,Cash,Mrs.,Morning
179,3/3/2023,Sugarcane juice,Beverages,25,5,125,,Mrs.,Midnight
180,12/1/2022,Vadapav,Fastfood,20,6,120,Online,Mrs.,Afternoon
181,6/9/2022,Cold coffee,Beverages,40,7,280,Cash,Mrs.,Night
182,7/2/2022,Cold coffee,Beverages,40,1,40,Cash,Mr.,Midnight
183,7/10/2022,Sugarcane juice,Beverages,25,5,125,Cash,Mrs.,Midnight
184,1/3/2023,Cold coffee,Beverages,40,8,320,Cash,Mr.,Night
185,1/13/2023,Sugarcane juice,Beverages,25,15,375,,Mr.,Night
186,3/15/2023,Frankie,Fastfood,50,2,100,Online,Mr.,Afternoon
187,10/11/2022,Aalopuri,Fastfood,20,15,300,Cash,Mrs.,Morning
188,12/28/2022,Panipuri,Fastfood,20,14,280,Cash,Mrs.,Night
189,2/8/2023,Vadapav,Fastfood,20,12,240,Online,Mr.,Afternoon
190,4/26/2022,Cold coffee,Beverages,40,1,40,Online,Mr.,Evening
191,5/20/2022,Sugarcane juice,Beverages,25,14,350,Cash,Mrs.,Morning
192,10/26/2022,Vadapav,Fastfood,20,2,40,Online,Mr.,Night
193,2/5/2023,Cold coffee,Beverages,40,15,600,Online,Mrs.,Midnight
194,12/15/2022,Vadapav,Fastfood,20,4,80,Cash,Mrs.,Morning
195,4/23/2022,Sandwich,Fastfood,60,4,240,Cash,Mrs.,Night
196,6/25/2022,Sandwich,Fastfood,60,3,180,Cash,Mr.,Evening
197,11/8/2022,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Midnight
198,1/5/2023,Frankie,Fastfood,50,15,750,Cash,Mr.,Morning
199,2/1/2023,Frankie,Fastfood,50,6,300,Online,Mrs.,Morning
200,12/25/2022,Cold coffee,Beverages,40,10,400,Cash,Mrs.,Morning
201,6/30/2022,Panipuri,Fastfood,20,8,160,Cash,Mr.,Morning
202,9/21/2022,Aalopuri,Fastfood,20,9,180,Cash,Mr.,Afternoon
203,4/11/2022,Vadapav,Fastfood,20,6,120,Online,Mrs.,Midnight
204,10/24/2022,Cold coffee,Beverages,40,7,280,Cash,Mrs.,Evening
205,10/17/2022,Vadapav,Fastfood,20,4,80,,Mr.,Afternoon
206,7/27/2022,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Night
207,2/20/2023,Cold coffee,Beverages,40,8,320,Online,Mrs.,Evening
208,8/26/2022,Cold coffee,Beverages,40,13,520,Cash,Mrs.,Midnight
209,12/4/2022,Aalopuri,Fastfood,20,2,40,Cash,Mr.,Night
210,1/2/2023,Sugarcane juice,Beverages,25,15,375,,Mr.,Night
211,4/18/2022,Aalopuri,Fastfood,20,12,240,Cash,Mr.,Morning
212,5/5/2022,Cold coffee,Beverages,40,12,480,Online,Mrs.,Morning
213,9/29/2022,Vadapav,Fastfood,20,3,60,,Mrs.,Midnight
214,12/3/2022,Sugarcane juice,Beverages,25,14,350,Online,Mr.,Evening
215,12/10/2022,Sugarcane juice,Beverages,25,7,175,,Mrs.,Morning
216,3/7/2023,Panipuri,Fastfood,20,9,180,Cash,Mrs.,Afternoon
217,3/23/2023,Cold coffee,Beverages,40,10,400,Cash,Mr.,Morning
218,12/23/2022,Cold coffee,Beverages,40,13,520,Online,Mrs.,Midnight
219,10/1/2022,Aalopuri,Fastfood,20,9,180,Cash,Mrs.,Evening
220,5/13/2022,Sugarcane juice,Beverages,25,1,25,Cash,Mr.,Afternoon
221,3/26/2023,Sandwich,Fastfood,60,1,60,Online,Mr.,Evening
222,9/11/2022,Sandwich,Fastfood,60,6,360,Cash,Mrs.,Morning
223,9/21/2022,Panipuri,Fastfood,20,13,260,Online,Mr.,Night
224,3/23/2023,Sugarcane juice,Beverages,25,14,350,Cash,Mr.,Afternoon
225,3/16/2023,Frankie,Fastfood,50,11,550,Cash,Mrs.,Evening
226,12/12/2022,Aalopuri,Fastfood,20,13,260,Online,Mrs.,Afternoon
227,11/17/2022,Cold coffee,Beverages,40,5,200,Cash,Mrs.,Afternoon
228,11/5/2022,Panipuri,Fastfood,20,8,160,Online,Mr.,Night
229,12/15/2022,Panipuri,Fastfood,20,7,140,,Mr.,Evening
230,4/16/2022,Frankie,Fastfood,50,6,300,Online,Mr.,Afternoon
231,4/16/2022,Sugarcane juice,Beverages,25,3,75,,Mr.,Night
232,4/23/2022,Vadapav,Fastfood,20,13,260,Cash,Mrs.,Night
233,7/31/2022,Panipuri,Fastfood,20,5,100,Cash,Mr.,Morning
234,7/27/2022,Panipuri,Fastfood,20,10,200,Cash,Mr.,Midnight
235,11/29/2022,Sandwich,Fastfood,60,10,600,Cash,Mrs.,Afternoon
236,6/26/2022,Vadapav,Fastfood,20,12,240,,Mrs.,Evening
237,11/8/2022,Panipuri,Fastfood,20,13,260,Cash,Mrs.,Midnight
238,4/26/2022,Vadapav,Fastfood,20,13,260,Cash,Mr.,Morning
239,12/4/2022,Frankie,Fastfood,50,4,200,Online,Mr.,Evening
240,12/11/2022,Sandwich,Fastfood,60,10,600,Cash,Mrs.,Morning
241,6/6/2022,Sugarcane juice,Beverages,25,2,50,Cash,Mr.,Afternoon
242,12/23/2022,Cold coffee,Beverages,40,4,160,Online,Mrs.,Midnight
243,11/12/2022,Panipuri,Fastfood,20,5,100,Cash,Mrs.,Midnight
244,11/22/2022,Sandwich,Fastfood,60,10,600,Online,Mrs.,Midnight
245,10/3/2022,Vadapav,Fastfood,20,2,40,Cash,Mrs.,Morning
246,11/16/2022,Vadapav,Fastfood,20,10,200,Cash,Mr.,Afternoon
247,10/3/2022,Sugarcane juice,Beverages,25,6,150,,Mr.,Midnight
248,4/17/2022,Frankie,Fastfood,50,5,250,Online,Mrs.,Midnight
249,10/26/2022,Sugarcane juice,Beverages,25,3,75,Online,Mrs.,Afternoon
250,11/15/2022,Sugarcane juice,Beverages,25,6,150,Online,Mrs.,Midnight
251,12/21/2022,Cold coffee,Beverages,40,13,520,,Mrs.,Afternoon
252,3/26/2023,Vadapav,Fastfood,20,8,160,Online,Mr.,Midnight
253,6/18/2022,Sugarcane juice,Beverages,25,13,325,Online,Mr.,Afternoon
254,10/9/2022,Cold coffee,Beverages,40,12,480,,Mrs.,Afternoon
255,4/30/2022,Vadapav,Fastfood,20,7,140,,Mrs.,Afternoon
256,3/16/2023,Aalopuri,Fastfood,20,3,60,Online,Mrs.,Midnight
257,1/3/2023,Sandwich,Fastfood,60,10,600,Cash,Mrs.,Midnight
258,9/6/2022,Vadapav,Fastfood,20,14,280,Cash,Mr.,Midnight
259,11/18/2022,Sandwich,Fastfood,60,4,240,Online,Mr.,Morning
260,9/10/2022,Sugarcane juice,Beverages,25,2,50,Online,Mrs.,Night
261,1/11/2023,Frankie,Fastfood,50,9,450,Cash,Mrs.,Midnight
262,3/5/2023,Vadapav,Fastfood,20,5,100,,Mrs.,Evening
263,6/19/2022,Panipuri,Fastfood,20,2,40,Cash,Mr.,Evening
264,7/18/2022,Sugarcane juice,Beverages,25,12,300,Online,Mr.,Morning
265,8/15/2022,Vadapav,Fastfood,20,6,120,Cash,Mr.,Midnight
266,10/2/2022,Frankie,Fastfood,50,10,500,Online,Mrs.,Night
267,3/5/2023,Vadapav,Fastfood,20,1,20,Cash,Mr.,Morning
268,2/5/2023,Cold coffee,Beverages,40,12,480,Cash,Mrs.,Midnight
269,12/22/2022,Panipuri,Fastfood,20,2,40,,Mrs.,Midnight
270,9/7/2022,Sandwich,Fastfood,60,13,780,Cash,Mr.,Evening
271,5/3/2022,Vadapav,Fastfood,20,13,260,Cash,Mr.,Evening
272,7/29/2022,Frankie,Fastfood,50,5,250,Online,Mrs.,Night
273,8/15/2022,Panipuri,Fastfood,20,15,300,Cash,Mr.,Midnight
274,1/4/2023,Sugarcane juice,Beverages,25,10,250,Online,Mr.,Night
275,2/4/2023,Vadapav,Fastfood,20,15,300,Online,Mr.,Night
276,9/30/2022,Sugarcane juice,Beverages,25,6,150,Cash,Mr.,Midnight
277,12/8/2022,Cold coffee,Beverages,40,13,520,Cash,Mrs.,Midnight
278,6/19/2022,Frankie,Fastfood,50,6,300,Online,Mrs.,Night
279,9/14/2022,Vadapav,Fastfood,20,15,300,Cash,Mrs.,Afternoon
280,10/9/2022,Panipuri,Fastfood,20,14,280,Online,Mrs.,Evening
281,8/9/2022,Sandwich,Fastfood,60,3,180,Cash,Mrs.,Afternoon
282,5/16/2022,Vadapav,Fastfood,20,13,260,,Mrs.,Morning
283,7/2/2022,Panipuri,Fastfood,20,2,40,Cash,Mrs.,Midnight
284,1/29/2023,Frankie,Fastfood,50,7,350,,Mr.,Afternoon
285,6/28/2022,Aalopuri,Fastfood,20,3,60,,Mr.,Night
286,12/14/2022,Vadapav,Fastfood,20,6,120,,Mr.,Night
287,8/6/2022,Aalopuri,Fastfood,20,3,60,Cash,Mr.,Morning
288,8/22/2022,Sandwich,Fastfood,60,7,420,Cash,Mr.,Night
289,11/28/2022,Aalopuri,Fastfood,20,7,140,Online,Mrs.,Midnight
290,5/3/2022,Panipuri,Fastfood,20,7,140,Cash,Mrs.,Morning
291,1/27/2023,Frankie,Fastfood,50,8,400,Online,Mrs.,Night
292,1/16/2023,Frankie,Fastfood,50,2,100,Cash,Mrs.,Midnight
293,4/21/2022,Panipuri,Fastfood,20,8,160,Online,Mrs.,Morning
294,9/23/2022,Aalopuri,Fastfood,20,1,20,Cash,Mrs.,Evening
295,7/21/2022,Sandwich,Fastfood,60,7,420,Cash,Mr.,Midnight
296,2/6/2023,Panipuri,Fastfood,20,7,140,Cash,Mrs.,Afternoon
297,4/30/2022,Sandwich,Fastfood,60,10,600,Online,Mr.,Evening
298,7/19/2022,Sugarcane juice,Beverages,25,9,225,Cash,Mrs.,Afternoon
299,7/22/2022,Aalopuri,Fastfood,20,1,20,Online,Mrs.,Evening
300,6/27/2022,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Afternoon
301,1/28/2023,Panipuri,Fastfood,20,7,140,Cash,Mr.,Night
302,3/21/2023,Aalopuri,Fastfood,20,14,280,Cash,Mr.,Night
303,7/2/2022,Sugarcane juice,Beverages,25,1,25,Cash,Mrs.,Midnight
304,5/28/2022,Vadapav,Fastfood,20,15,300,Online,Mr.,Morning
305,3/5/2023,Panipuri,Fastfood,20,4,80,,Mrs.,Morning
306,3/3/2023,Cold coffee,Beverages,40,8,320,Online,Mrs.,Morning
307,2/13/2023,Vadapav,Fastfood,20,8,160,Cash,Mr.,Evening
308,12/17/2022,Sandwich,Fastfood,60,13,780,Online,Mr.,Evening
309,10/14/2022,Sandwich,Fastfood,60,8,480,Online,Mr.,Evening
310,4/25/2022,Vadapav,Fastfood,20,4,80,Cash,Mr.,Afternoon
311,7/31/2022,Frankie,Fastfood,50,7,350,,Mrs.,Morning
312,12/28/2022,Cold coffee,Beverages,40,1,40,Cash,Mrs.,Night
313,4/19/2022,Cold coffee,Beverages,40,1,40,Cash,Mr.,Midnight
314,2/27/2023,Frankie,Fastfood,50,8,400,Online,Mrs.,Morning
315,2/20/2023,Cold coffee,Beverages,40,13,520,Online,Mrs.,Afternoon
316,11/2/2022,Frankie,Fastfood,50,4,200,Online,Mr.,Morning
317,3/10/2023,Aalopuri,Fastfood,20,12,240,Online,Mrs.,Afternoon
318,12/21/2022,Aalopuri,Fastfood,20,10,200,Online,Mrs.,Midnight
319,6/30/2022,Frankie,Fastfood,50,15,750,Cash,Mr.,Afternoon
320,3/18/2023,Sugarcane juice,Beverages,25,7,175,Cash,Mrs.,Afternoon
321,2/8/2023,Frankie,Fastfood,50,12,600,Cash,Mrs.,Evening
322,5/5/2022,Cold coffee,Beverages,40,11,440,Cash,Mr.,Morning
323,12/29/2022,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Morning
324,7/18/2022,Sugarcane juice,Beverages,25,15,375,Online,Mrs.,Night
325,3/2/2023,Aalopuri,Fastfood,20,12,240,,Mrs.,Afternoon
326,5/3/2022,Sandwich,Fastfood,60,8,480,Cash,Mr.,Evening
327,11/29/2022,Frankie,Fastfood,50,15,750,Cash,Mrs.,Midnight
328,6/16/2022,Vadapav,Fastfood,20,3,60,Online,Mr.,Evening
329,1/10/2023,Panipuri,Fastfood,20,7,140,Online,Mrs.,Afternoon
330,9/22/2022,Panipuri,Fastfood,20,8,160,,Mr.,Morning
331,8/21/2022,Panipuri,Fastfood,20,4,80,Online,Mrs.,Evening
332,2/17/2023,Aalopuri,Fastfood,20,2,40,,Mrs.,Afternoon
333,10/30/2022,Sugarcane juice,Beverages,25,11,275,Cash,Mrs.,Afternoon
334,4/4/2022,Cold coffee,Beverages,40,4,160,Cash,Mrs.,Evening
335,10/24/2022,Cold coffee,Beverages,40,11,440,Cash,Mr.,Night
336,9/3/2022,Sugarcane juice,Beverages,25,13,325,,Mrs.,Midnight
337,10/15/2022,Aalopuri,Fastfood,20,14,280,Online,Mrs.,Midnight
338,5/6/2022,Sugarcane juice,Beverages,25,12,300,Cash,Mr.,Morning
339,2/16/2023,Sugarcane juice,Beverages,25,1,25,,Mrs.,Midnight
340,6/2/2022,Cold coffee,Beverages,40,4,160,Cash,Mrs.,Evening
341,3/19/2023,Frankie,Fastfood,50,9,450,Cash,Mrs.,Evening
342,3/11/2023,Vadapav,Fastfood,20,7,140,Online,Mr.,Afternoon
343,1/18/2023,Sugarcane juice,Beverages,25,5,125,Cash,Mr.,Afternoon
344,5/13/2022,Cold coffee,Beverages,40,14,560,Cash,Mr.,Night
